Visual Novel,Shooter,Platform,Puzzle elements,Metroidvania,Vehicle Simulator,Arcade,Tile Matching Puzzle,Falling Block Puzzle,Cards / Tiles,Fighting,Managerial / Business Simulation,Beat 'em up / Brawler,Martial Arts,Vehicular Combat Simulator,Rail Shooter,Tricks / Stunts,Japanese-style RPG (JRPG),Pinball,RPG elements,Action RPG,Roguelike,Paddle / Pong,Board Game,Game Show / Trivia / Quiz,Casino / Gambling,Wargame,Interactive Fiction / Text Adventure,Life / Social Simulation,Stealth,Graphic Adventure,Japanese-style Adventure,Music / Rhythm,Massively Multiplayer,Trading / Collectible Card,Tactical RPG,Dating Simulation,Hack and Slash,Chess,4X,Survival Horror,City Building / Construction Simulation,Mental training,Party Game,Mini-Games,Tactical Shooter,Quick Time Events (QTEs),Sandbox / Open World,Timed Input,Artillery,Word Construction,Interactive Book,Hidden object,Hunting,Tower Defense,Time Management,platform,country
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Commodore PET/CBM,Germany
,11.0,,3.0,,,30.0,2.0,,7.0,,1.0,,,,,,,,,,1.0,3.0,19.0,,4.0,,1.0,,,,,,,,,,,1.0,,,,2.0,,,,,,1.0,1.0,4.0,,,1.0,,,Commodore PET/CBM,Japan
,196.0,116.0,369.0,,36.0,191.0,15.0,12.0,11.0,42.0,229.0,9.0,11.0,119.0,21.0,9.0,,27.0,10.0,14.0,3.0,5.0,32.0,3.0,4.0,24.0,13.0,,,116.0,,,,,,,,10.0,16.0,14.0,22.0,1.0,1.0,,,,8.0,2.0,2.0,1.0,,,,,,DOS,Germany
1.0,3.0,4.0,3.0,,,4.0,,1.0,,,2.0,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,DOS,Japan
,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVD Player,Germany
4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVD Player,Japan
,51.0,,,,,130.0,,,,,,,,,1.0,,,,,,,129.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Dedicated console,Germany
,27.0,,,,,79.0,,,,,,,,,1.0,,,3.0,,,,80.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedicated console,Japan
,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedicated handheld,Germany
,,9.0,,,,30.0,,,1.0,2.0,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,6.0,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,Dedicated handheld,Japan
,1.0,4.0,,,,5.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,DoJa,Germany
1.0,18.0,34.0,2.0,,2.0,15.0,2.0,1.0,2.0,1.0,,1.0,,,,,2.0,,,6.0,,,1.0,,,,,,2.0,,,,,,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,DoJa,Japan
,7.0,6.0,9.0,2.0,9.0,15.0,,3.0,,13.0,2.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,3.0,,,,,,2.0,,,,,,,,,,Dreamcast,Germany
54.0,40.0,6.0,11.0,2.0,14.0,61.0,1.0,8.0,4.0,44.0,6.0,1.0,22.0,4.0,6.0,4.0,3.0,1.0,1.0,,,,3.0,,,,,,,,4.0,12.0,2.0,,,,,,,6.0,,,,,,3.0,,,,,,,,,,Dreamcast,Japan
,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electron,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electron,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Germany
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Germany
,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Super Cassette Vision,Germany
,1.0,3.0,1.0,,,6.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Super Cassette Vision,Japan
,6.0,10.0,3.0,,1.0,20.0,,,1.0,3.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,ExEn,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ExEn,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM Towns,Germany
85.0,25.0,9.0,32.0,,1.0,34.0,7.0,5.0,21.0,13.0,16.0,3.0,4.0,6.0,4.0,1.0,,,,,,,6.0,3.0,,,1.0,,,13.0,1.0,,,,,,,4.0,,2.0,4.0,1.0,,,,,,,,,,,,,,FM Towns,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM-7,Germany
3.0,25.0,27.0,39.0,1.0,3.0,47.0,,1.0,1.0,2.0,5.0,,2.0,,,,1.0,,1.0,10.0,1.0,,2.0,,,3.0,48.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,FM-7,Japan
,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire OS,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire OS,Japan
,10.0,,,,,11.0,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,GIMINI,Germany
,4.0,,,,,5.0,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,GIMINI,Japan
,11.0,43.0,7.0,,1.0,30.0,1.0,1.0,1.0,4.0,,2.0,3.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Game Boy,Germany
,42.0,87.0,28.0,5.0,1.0,102.0,9.0,17.0,8.0,23.0,,8.0,12.0,,,1.0,8.0,2.0,,1.0,1.0,1.0,8.0,,2.0,,,,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,Game Boy,Japan
,24.0,44.0,18.0,4.0,4.0,23.0,,2.0,3.0,8.0,2.0,3.0,2.0,,,4.0,3.0,2.0,,3.0,1.0,,1.0,,,,,1.0,,,,1.0,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,Game Boy Advance,Germany
2.0,27.0,77.0,44.0,13.0,6.0,94.0,6.0,13.0,11.0,16.0,5.0,5.0,5.0,,,3.0,14.0,3.0,2.0,5.0,1.0,1.0,3.0,,,,,,1.0,,,4.0,,6.0,1.0,,,,,1.0,,,1.0,2.0,,,,,,2.0,,,,,,Game Boy Advance,Japan
,9.0,30.0,18.0,,3.0,20.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,,,3.0,2.0,2.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,Game Boy Color,Germany
,7.0,15.0,10.0,4.0,1.0,21.0,5.0,6.0,4.0,3.0,1.0,,,1.0,,,6.0,1.0,2.0,,,1.0,2.0,,,,,1.0,2.0,,3.0,8.0,,3.0,,,,,,,,,,2.0,,,,,,1.0,,,,,,Game Boy Color,Japan
,12.0,47.0,5.0,1.0,3.0,23.0,,3.0,,5.0,,3.0,4.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Game Gear,Germany
,22.0,41.0,7.0,2.0,2.0,46.0,2.0,11.0,4.0,10.0,,4.0,4.0,,1.0,1.0,1.0,,2.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Game Gear,Japan
,36.0,23.0,27.0,5.0,10.0,13.0,1.0,,,20.0,9.0,2.0,3.0,,,10.0,2.0,,2.0,3.0,,,6.0,,1.0,,,3.0,4.0,,,5.0,,,,,2.0,,,3.0,,,5.0,5.0,1.0,1.0,1.0,,1.0,,,,,,,GameCube,Germany
,22.0,26.0,25.0,7.0,6.0,21.0,2.0,6.0,,26.0,4.0,,6.0,,,7.0,3.0,1.0,1.0,,,,9.0,,,,,3.0,3.0,,,5.0,,,,,,,,6.0,,,6.0,11.0,,,,,,,,,,,,GameCube,Japan
,28.0,69.0,17.0,,2.0,33.0,,1.0,,7.0,,9.0,4.0,3.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genesis,Germany
,82.0,105.0,22.0,4.0,5.0,117.0,2.0,10.0,8.0,27.0,5.0,25.0,15.0,5.0,2.0,1.0,4.0,5.0,4.0,3.0,1.0,2.0,10.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genesis,Japan
,1.0,,,,,5.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ideal-Computer,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ideal-Computer,Japan
,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intellivision,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intellivision,Japan
,,,,,,5.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interton Video 2000,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interton Video 2000,Japan
,5.0,15.0,4.0,,1.0,13.0,,2.0,3.0,2.0,1.0,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,J2ME,Germany
1.0,,3.0,,,,5.0,1.0,,1.0,1.0,,,,,,,2.0,,,1.0,,,,,,,,,4.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,J2ME,Japan
,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaguar,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaguar,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LaserActive,Germany
,2.0,,,,,3.0,,,2.0,,,,,,3.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,LaserActive,Japan
1.0,7.0,5.0,12.0,,4.0,3.0,,,,1.0,5.0,,,2.0,,,,,,,,1.0,,,,,,,2.0,7.0,,,1.0,1.0,1.0,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,Linux,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linux,Japan
,3.0,2.0,1.0,,1.0,6.0,,1.0,2.0,3.0,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lynx,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lynx,Japan
,35.0,40.0,11.0,3.0,2.0,85.0,1.0,,2.0,5.0,1.0,1.0,5.0,1.0,,1.0,,1.0,,1.0,,3.0,3.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,MSX,Germany
15.0,111.0,79.0,41.0,6.0,3.0,180.0,4.0,5.0,12.0,9.0,4.0,2.0,8.0,4.0,1.0,,8.0,1.0,1.0,9.0,,6.0,9.0,4.0,2.0,,12.0,,4.0,1.0,2.0,1.0,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,MSX,Japan
1.0,38.0,17.0,101.0,,13.0,11.0,4.0,3.0,4.0,6.0,36.0,,,4.0,,6.0,,5.0,9.0,6.0,,1.0,6.0,3.0,,,,7.0,8.0,26.0,,4.0,2.0,2.0,2.0,,4.0,2.0,4.0,,7.0,2.0,,10.0,1.0,,1.0,,2.0,,1.0,3.0,1.0,1.0,1.0,Macintosh,Germany
6.0,4.0,1.0,5.0,,,3.0,1.0,4.0,1.0,,4.0,,,,,,,,,1.0,,2.0,,,,,,2.0,,4.0,,4.0,,,,2.0,1.0,,1.0,,1.0,,,,,,2.0,,,,1.0,,,,,Macintosh,Japan
,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microvision,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microvision,Japan
,1.0,3.0,2.0,,3.0,3.0,1.0,1.0,,,,,,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,N-Gage,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-Gage,Japan
,7.0,19.0,3.0,2.0,,9.0,1.0,1.0,,1.0,,4.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NES,Germany
4.0,173.0,235.0,45.0,20.0,2.0,226.0,8.0,14.0,14.0,42.0,5.0,23.0,23.0,,2.0,3.0,8.0,5.0,7.0,14.0,,6.0,22.0,2.0,6.0,1.0,3.0,,3.0,2.0,1.0,2.0,,,1.0,,,,,,,,,2.0,,,,,,1.0,,,1.0,,,NES,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo,Germany
,19.0,10.0,,,,41.0,2.0,1.0,,48.0,,7.0,18.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Neo Geo,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo CD,Germany
,9.0,2.0,,,,18.0,1.0,1.0,2.0,19.0,,2.0,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Neo Geo CD,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket,Germany
,,,,,,1.0,,1.0,,2.0,,,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket,Japan
,2.0,2.0,,,,5.0,,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket Color,Germany
2.0,3.0,3.0,1.0,,,11.0,2.0,2.0,2.0,5.0,,,3.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket Color,Japan
,2.0,3.0,,1.0,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,New Nintendo 3DS,Germany
,4.0,8.0,2.0,1.0,1.0,6.0,1.0,1.0,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,New Nintendo 3DS,Japan
1.0,6.0,18.0,14.0,3.0,,11.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,,,1.0,13.0,,2.0,1.0,,2.0,3.0,2.0,,,,1.0,,,,1.0,,1.0,,,,1.0,,1.0,1.0,2.0,1.0,6.0,,,1.0,,,,,1.0,,,,Nintendo 3DS,Germany
7.0,62.0,134.0,47.0,25.0,7.0,111.0,8.0,18.0,5.0,24.0,12.0,24.0,7.0,1.0,,4.0,45.0,3.0,12.0,9.0,5.0,3.0,7.0,,,,,6.0,2.0,,3.0,9.0,,2.0,6.0,,1.0,,,1.0,4.0,1.0,3.0,12.0,,,6.0,,,,,,,4.0,,Nintendo 3DS,Japan
