Adult,Comedy,War,Horror,Crime,Detective / Mystery,Spy / Espionage,Romance,Thriller,Survival,Healthcare,platform,country
,,,,,1.0,1.0,1.0,1.0,,,SG-1000,Japan
,3.0,,1.0,,,,,,,2.0,SNES,Germany
3.0,6.0,5.0,16.0,2.0,4.0,,,,,1.0,SNES,Japan
,,,,,,,,,,,Sharp MZ-80B/2000/2500,Germany
,1.0,,,,,,,,,,Sharp MZ-80B/2000/2500,Japan
,,,,,,,,,,,Sharp MZ-80K/700/800/1500,Germany
,1.0,,,,,,,,,,Sharp MZ-80K/700/800/1500,Japan
,,,,,,,,,,,Sharp X1,Germany
4.0,1.0,2.0,2.0,,7.0,3.0,1.0,,,,Sharp X1,Japan
,,,,,,,,,,,Sharp X68000,Germany
129.0,3.0,2.0,8.0,2.0,27.0,,,,,1.0,Sharp X68000,Japan
,,,,,,,,,,,Sharp Zaurus,Germany
,,,,,,,,,,,Sharp Zaurus,Japan
,,,,,,,,,,,Sinclair QL,Germany
,,,,,,,,,,,Sinclair QL,Japan
,,,,,,,,,,,Sord M5,Germany
,,,,,,,,,,,Sord M5,Japan
,,,,,,,,,,,Spectravideo,Germany
,,,,,,,,,,,Spectravideo,Japan
,,,,,,,,,,,SuperGrafx,Germany
,,,1.0,,,,,,,,SuperGrafx,Japan
,,,,,,,,,,,Symbian,Germany
,,,,,,,,,,,Symbian,Japan
,,,,,,,,,,,Tele-Spiel ES-2201,Germany
,,,,,,,,,,,Tele-Spiel ES-2201,Japan
,,,,,,,,,,,Tomy Tutor,Germany
,,,,,,,,,,,Tomy Tutor,Japan
,,,,,,,,,,,TurboGrafx CD,Germany
26.0,2.0,,8.0,1.0,16.0,,1.0,,,,TurboGrafx CD,Japan
,,,,,,,,,,,TurboGrafx-16,Germany
4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,TurboGrafx-16,Japan
,,,,,,,,,,,V.Smile,Germany
,,,,,,,,,,,V.Smile,Japan
,,,,,,,,,,,VIC-20,Germany
,,,,,,,,,,,VIC-20,Japan
,,,,,,,,,,,Vectrex,Germany
,,,,,,,,,,,Vectrex,Japan
,,,,,,,,,,,Virtual Boy,Germany
,,,,,,,,,,,Virtual Boy,Japan
,,,,,,,,,,,Wang 2200,Germany
,,,,,,,,,,,Wang 2200,Japan
,10.0,4.0,10.0,,5.0,4.0,,,,,Wii,Germany
,8.0,2.0,22.0,2.0,12.0,4.0,,,,2.0,Wii,Japan
,2.0,,2.0,1.0,,,,,1.0,1.0,Wii U,Germany
,3.0,,7.0,1.0,8.0,1.0,,,,2.0,Wii U,Japan
51.0,96.0,336.0,212.0,58.0,334.0,108.0,12.0,18.0,8.0,5.0,Windows,Germany
204.0,13.0,17.0,40.0,4.0,31.0,11.0,12.0,2.0,4.0,,Windows,Japan
6.0,10.0,3.0,10.0,2.0,9.0,1.0,,,,,Windows 3.x,Germany
11.0,,,2.0,,,,,,,,Windows 3.x,Japan
,,,,,,,,,,,Windows Mobile,Germany
,,,,,,,,,,,Windows Mobile,Japan
,,,,,,,,,,,Windows Phone,Germany
,,,,,,,,,,,Windows Phone,Japan
,,,,,,,,,,,WonderSwan,Germany
,,,4.0,,2.0,,,,,,WonderSwan,Japan
,,,,,,,,,,,WonderSwan Color,Germany
,,,1.0,,2.0,,1.0,,,,WonderSwan Color,Japan
,,,,,,,,,,,XaviXPORT,Germany
,,,,,,,,,,,XaviXPORT,Japan
1.0,5.0,15.0,13.0,7.0,7.0,16.0,,4.0,,,Xbox,Germany
,1.0,4.0,8.0,3.0,3.0,10.0,,3.0,,,Xbox,Japan
2.0,12.0,37.0,8.0,8.0,8.0,9.0,2.0,2.0,,,Xbox 360,Germany
2.0,4.0,6.0,14.0,4.0,5.0,7.0,2.0,1.0,,,Xbox 360,Japan
,,2.0,2.0,,,1.0,,,,,Xbox One,Germany
,,1.0,4.0,,4.0,,1.0,,,,Xbox One,Japan
,2.0,1.0,2.0,1.0,1.0,2.0,,,,,ZX Spectrum,Germany
,,,,,,,,,,,ZX Spectrum,Japan
,,,1.0,,,,,,,,iPad,Germany
1.0,1.0,,1.0,4.0,12.0,1.0,7.0,2.0,1.0,,iPad,Japan
,,1.0,1.0,,,,,,,,iPhone,Germany
1.0,1.0,,4.0,4.0,16.0,1.0,7.0,2.0,1.0,,iPhone,Japan
