Bowling,Sailing / Boating,Snowboarding / Skiing,Horse / Derby,Boxing,Fishing,Golf,Basketball,Pool / Snooker,Football (European) / Soccer,Ping Pong / Table Tennis,Olympiad / Mixed Sports,Dodgeball,Volleyball,Baseball,Rugby,Wrestling,Football (American),Racquetball / Squash,Darts / Target Shooting,Tennis,Hockey,Surfing,Skateboarding,Athletics,Wakeboarding,Paintball,platform,country,Cricket
,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,Neo Geo Pocket,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket Color,Germany,
,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,Neo Geo Pocket Color,Japan,
,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,New Nintendo 3DS,Germany,
,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,New Nintendo 3DS,Japan,
,,,2.0,,,2.0,1.0,,1.0,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,Nintendo 3DS,Germany,
1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,5.0,,1.0,2.0,2.0,2.0,1.0,2.0,,,,3.0,2.0,,,1.0,,,Nintendo 3DS,Japan,
,1.0,3.0,,2.0,2.0,3.0,1.0,,9.0,,,,,1.0,,1.0,1.0,,,1.0,4.0,,1.0,,,,Nintendo 64,Germany,
1.0,2.0,5.0,,1.0,1.0,2.0,1.0,,3.0,,1.0,,,1.0,,1.0,,,,2.0,,,,,,,Nintendo 64,Japan,
1.0,2.0,4.0,5.0,1.0,1.0,,1.0,,1.0,,2.0,,,,,1.0,,,,,,,2.0,,,,Nintendo DS,Germany,
4.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,Nintendo DS,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Nintendo DSi,Germany,
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,Nintendo DSi,Japan,
1.0,,,4.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,,,,,,,2.0,1.0,,1.0,,,,,Nintendo Switch,Germany,1.0
1.0,,,,3.0,2.0,2.0,1.0,,7.0,,,2.0,1.0,2.0,,,,,1.0,1.0,,,1.0,1.0,,,Nintendo Switch,Japan,
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Odyssey,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Odyssey,Japan,
,,1.0,,,,,,,2.0,,,,1.0,,,,,,1.0,,1.0,,,,,,Odyssey 2,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Odyssey 2,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PC Booter,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PC Booter,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PC-6001,Germany,
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,PC-6001,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PC-8000,Germany,
,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,PC-8000,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PC-88,Germany,
1.0,,1.0,,,,5.0,,2.0,,,2.0,1.0,,,,1.0,,,,1.0,,,,,,,PC-88,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PC-98,Germany,
,,,1.0,1.0,1.0,12.0,,,,,,,,2.0,,7.0,1.0,,,1.0,,,,,,,PC-98,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PC-FX,Germany,
,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,PC-FX,Japan,
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,PS Vita,Germany,
,,,,,3.0,2.0,,,,,,,1.0,,,1.0,,,,2.0,1.0,,,1.0,,,PS Vita,Japan,
,,,,,,2.0,,1.0,10.0,,,,,,,2.0,,,,1.0,,,2.0,,,,PSP,Germany,
2.0,,1.0,,3.0,4.0,6.0,1.0,,3.0,1.0,2.0,,,,,2.0,,,,4.0,1.0,,,,,,PSP,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Palm OS,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Palm OS,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Pippin,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Pippin,Japan,
1.0,,9.0,,,3.0,2.0,5.0,1.0,23.0,,3.0,,,,,5.0,1.0,,,4.0,,,4.0,,,,PlayStation,Germany,
3.0,,16.0,6.0,8.0,21.0,16.0,18.0,4.0,21.0,1.0,5.0,5.0,2.0,10.0,1.0,6.0,,,,12.0,8.0,,6.0,,,,PlayStation,Japan,
2.0,3.0,24.0,2.0,3.0,1.0,10.0,10.0,3.0,36.0,,5.0,,2.0,,1.0,17.0,9.0,,,6.0,9.0,1.0,11.0,,1.0,,PlayStation 2,Germany,
1.0,1.0,8.0,9.0,8.0,4.0,7.0,4.0,4.0,18.0,4.0,3.0,5.0,1.0,16.0,1.0,24.0,3.0,,,7.0,2.0,,3.0,,,,PlayStation 2,Japan,
,,2.0,,1.0,1.0,5.0,2.0,,17.0,1.0,2.0,,1.0,,,4.0,,,,3.0,3.0,,4.0,,,,PlayStation 3,Germany,
1.0,,,,,4.0,,1.0,1.0,3.0,,,,,2.0,,1.0,,,1.0,4.0,2.0,,,,,,PlayStation 3,Japan,
1.0,,,2.0,,,,1.0,1.0,4.0,,,,,2.0,,2.0,1.0,,1.0,,,,,,,,PlayStation 4,Germany,
1.0,,,2.0,1.0,,2.0,3.0,1.0,7.0,,,,3.0,4.0,,3.0,2.0,,1.0,1.0,,,,2.0,,,PlayStation 4,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Playdia,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Playdia,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Pokémon Mini,Germany,
,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,Pokémon Mini,Japan,
,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,SEGA 32X,Germany,
,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,SEGA 32X,Japan,
,,,,1.0,,,2.0,,3.0,,,,,,,,,,,,1.0,,,,,,SEGA CD,Germany,
,,,1.0,1.0,,1.0,1.0,,1.0,,,,,2.0,,1.0,,,,,,,,,,,SEGA CD,Japan,
1.0,,2.0,,2.0,,6.0,2.0,1.0,7.0,,6.0,,,,,2.0,2.0,,,5.0,1.0,2.0,2.0,,,,SEGA Master System,Germany,
,,,,1.0,,1.0,1.0,1.0,2.0,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,SEGA Master System,Japan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SEGA Pico,Germany,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SEGA Pico,Japan,
,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,SEGA Saturn,Germany,
,,3.0,3.0,,,8.0,4.0,1.0,13.0,,3.0,,,2.0,,4.0,2.0,,,2.0,1.0,,,,,,SEGA Saturn,Japan,
