Foreign Language,Health / Nutrition,Ecology / Nature,Math / Logic,Music,Typing,Reading / Writing,Geography,Graphics / Art,History,Pre-school / Toddler,Science,Sociology,platform,country,Religion
,,,,,,,,,,,,,Wang 2200,Japan,
,1.0,4.0,4.0,3.0,,4.0,1.0,,1.0,6.0,,2.0,Wii,Germany,
,1.0,,3.0,1.0,,2.0,,,,1.0,,1.0,Wii,Japan,
,,,1.0,,,,,1.0,,,,,Wii U,Germany,
,,,1.0,,,,,,,,,,Wii U,Japan,
1.0,5.0,40.0,20.0,4.0,,4.0,13.0,6.0,29.0,8.0,18.0,5.0,Windows,Germany,2.0
4.0,2.0,1.0,,,8.0,,3.0,1.0,2.0,,1.0,,Windows,Japan,
1.0,,11.0,4.0,1.0,,1.0,1.0,1.0,3.0,4.0,2.0,,Windows 3.x,Germany,1.0
3.0,1.0,,,,,,,,,,,,Windows 3.x,Japan,
,,,,,,,,,,,,,Windows Mobile,Germany,
,,,,,,,,,,,,,Windows Mobile,Japan,
,,,,,,,,,,,,,Windows Phone,Germany,
,,,,,,,,,,,,,Windows Phone,Japan,
,,,,,,,,,,,,,WonderSwan,Germany,
,,,1.0,,,1.0,,,,,,,WonderSwan,Japan,
,,,,,,,,,,,,,WonderSwan Color,Germany,
,,,,,,,,,,,,,WonderSwan Color,Japan,
,,,,,,,,,,,,,XaviXPORT,Germany,
,2.0,,,,,,,,,,,,XaviXPORT,Japan,
,,1.0,,,,,,,,,,,Xbox,Germany,
,,,,,,,,,,,,,Xbox,Japan,
,1.0,,1.0,,,1.0,1.0,,,,,,Xbox 360,Germany,
,,,1.0,,,1.0,1.0,,,,,,Xbox 360,Japan,
,,,,,,,,,,,,,Xbox One,Germany,
,,,,,,,,,,,,,Xbox One,Japan,
,,,,,,,,,,,,,ZX Spectrum,Germany,
,,,,,,,,,,,,,ZX Spectrum,Japan,
,,,,,,,,,1.0,,,,iPad,Germany,
1.0,,,,,,,,,,,,,iPad,Japan,
,,,,,,,,,1.0,,,,iPhone,Germany,
1.0,,,,,,,,,,,,,iPhone,Japan,
