Story / Mission,Map / Level,Other,Item,Enemy,Player Unit,Game Mode,Extras,Customization / Outfit / Skin,Currency,platform,country
,,,,,,,,,,TurboGrafx CD,Germany
,,,,,,,,,,TurboGrafx CD,Japan
,,,,,,,,,,TurboGrafx-16,Germany
,,,,,,,,,,TurboGrafx-16,Japan
,,,,,,,,,,V.Smile,Germany
,,,,,,,,,,V.Smile,Japan
,,,,,,,,,,VIC-20,Germany
,,,,,,,,,,VIC-20,Japan
,,,,,,,,,,Vectrex,Germany
,,,,,,,,,,Vectrex,Japan
,,,,,,,,,,Virtual Boy,Germany
,,,,,,,,,,Virtual Boy,Japan
,,,,,,,,,,Wang 2200,Germany
,,,,,,,,,,Wang 2200,Japan
,,,,,1.0,,,,,Wii,Germany
,,,,,,,,,,Wii,Japan
,,,1.0,,4.0,,,,,Wii U,Germany
7.0,2.0,,1.0,,6.0,,,,,Wii U,Japan
271.0,228.0,315.0,161.0,80.0,179.0,46.0,17.0,69.0,,Windows,Germany
19.0,9.0,19.0,7.0,7.0,14.0,1.0,,1.0,,Windows,Japan
2.0,13.0,4.0,,,1.0,,1.0,1.0,,Windows 3.x,Germany
,,,,,,,,,,Windows 3.x,Japan
,,,,,,,,,,Windows Mobile,Germany
,,,,,,,,,,Windows Mobile,Japan
,,,,,,,,,,Windows Phone,Germany
,,,,,,,,,,Windows Phone,Japan
,,,,,,,,,,WonderSwan,Germany
,,,,,,,,,,WonderSwan,Japan
,,,,,,,,,,WonderSwan Color,Germany
,,,,,,,,,,WonderSwan Color,Japan
,,,,,,,,,,XaviXPORT,Germany
,,,,,,,,,,XaviXPORT,Japan
,,,,,,,,,,Xbox,Germany
,1.0,1.0,,,,,,,,Xbox,Japan
2.0,2.0,2.0,1.0,1.0,2.0,,,14.0,,Xbox 360,Germany
3.0,,14.0,10.0,2.0,,,,10.0,,Xbox 360,Japan
2.0,2.0,9.0,9.0,1.0,1.0,,3.0,11.0,8.0,Xbox One,Germany
,,10.0,,,,,,,,Xbox One,Japan
,,,,,,,,,,ZX Spectrum,Germany
,,,,,,,,,,ZX Spectrum,Japan
,,,,,,,,,,iPad,Germany
1.0,,,,,,,,,,iPad,Japan
,,,,,,,,,,iPhone,Germany
1.0,,,,,,,,,,iPhone,Japan
