Tank,Street Racing,Automobile,Track Racing,Mecha / Giant Robot,Flight / Aviation,Naval / Watercraft,Helicopter,Train,Space Flight,Motorcycle,Off-roading,Hovercraft,Truck,Bike / Bicycling,Transport,Agricultural / Industrial,Bus,platform,country,Self-propelled Artillery
1.0,,3.0,2.0,1.0,3.0,,,2.0,,,,,,,,,,Game Boy Color,Japan,
,1.0,5.0,4.0,,3.0,,,,1.0,,1.0,,,,,,,Game Gear,Germany,
1.0,2.0,8.0,4.0,1.0,1.0,,,,1.0,1.0,,,,,,,,Game Gear,Japan,
2.0,7.0,16.0,9.0,1.0,3.0,,1.0,,4.0,3.0,3.0,2.0,1.0,,,,,GameCube,Germany,
2.0,2.0,8.0,6.0,3.0,3.0,,1.0,,2.0,1.0,1.0,1.0,,,,,,GameCube,Japan,
1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,,1.0,2.0,,,,1.0,,,,Genesis,Germany,
2.0,3.0,15.0,10.0,9.0,12.0,3.0,8.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,,,,Genesis,Japan,
1.0,,,,,,,,,,,,,,,,,,Ideal-Computer,Germany,
,,,,,,,,,,,,,,,,,,Ideal-Computer,Japan,
,,,,,,,,,,,,,,,,,,Intellivision,Germany,
,,,,,,,,,,,,,,,,,,Intellivision,Japan,
,,,,,,,,,,,,,,,,,,Interton Video 2000,Germany,
,,,,,,,,,,,,,,,,,,Interton Video 2000,Japan,
,1.0,1.0,1.0,,1.0,,,,,1.0,,,,3.0,,,,J2ME,Germany,
,,3.0,,,,,,,,,,,,,,,,J2ME,Japan,
,,,,,,,,,,,,,,,,,,Jaguar,Germany,
,,,,,,,,,,,,,,,,,,Jaguar,Japan,
,,,,,,,,,,,,,,,,,,LaserActive,Germany,
,,,1.0,2.0,,,1.0,,,,,,,,,,,LaserActive,Japan,
1.0,,,,1.0,5.0,2.0,3.0,1.0,3.0,,,,,,,,,Linux,Germany,
,,,,,,,,,,,,,,,,,,Linux,Japan,
,,,,,,,1.0,,,,,,,,,,,Lynx,Germany,
,,,,,,,,,,,,,,,,,,Lynx,Japan,
2.0,1.0,7.0,4.0,1.0,1.0,,2.0,,1.0,,,,,,,,,MSX,Germany,
4.0,1.0,6.0,4.0,17.0,13.0,5.0,4.0,1.0,12.0,1.0,,,,,,,,MSX,Japan,
5.0,,10.0,7.0,4.0,13.0,5.0,5.0,2.0,7.0,1.0,6.0,,,,,1.0,1.0,Macintosh,Germany,
,,,,,,,,,1.0,1.0,,,,,,,,Macintosh,Japan,
,,,,,,,,,,,,,,,,,,Microvision,Germany,
,,,,,,,,,,,,,,,,,,Microvision,Japan,
,2.0,4.0,2.0,,,1.0,,,,,1.0,,,,,,,N-Gage,Germany,
,,,,,,,,,,,,,,,,,,N-Gage,Japan,
,,,,,,1.0,,,,,,,,,,,,NES,Germany,
