Street Racing,Automobile,Mecha / Giant Robot,Train,Space Flight,Flight / Aviation,Helicopter,Track Racing,Naval / Watercraft,Motorcycle,Tank,Off-roading,Hovercraft,Bike / Bicycling,Truck,Transport,Bus,Agricultural / Industrial,platform,country,Self-propelled Artillery
,,,,,,,,,,,,,,,,,,XaviXPORT,Germany,
,,,,,,,,,,,,,,,,,,XaviXPORT,Japan,
12.0,29.0,5.0,,1.0,13.0,2.0,14.0,1.0,4.0,9.0,7.0,,1.0,,,,,Xbox,Germany,
3.0,15.0,10.0,,1.0,11.0,1.0,11.0,,1.0,6.0,2.0,,,1.0,,1.0,,Xbox,Japan,
13.0,43.0,4.0,,6.0,27.0,8.0,16.0,8.0,11.0,15.0,11.0,,1.0,,,,,Xbox 360,Germany,
8.0,14.0,11.0,1.0,4.0,15.0,5.0,3.0,2.0,5.0,5.0,2.0,,2.0,,,,,Xbox 360,Japan,
1.0,2.0,,,,,1.0,1.0,2.0,,,1.0,,,,,,,Xbox One,Germany,
,,,,,1.0,,1.0,,1.0,,,,,,,,,Xbox One,Japan,
2.0,8.0,1.0,,4.0,11.0,8.0,6.0,2.0,1.0,1.0,1.0,,3.0,,,,,ZX Spectrum,Germany,
,,,,,,,,,,,,,,,,,,ZX Spectrum,Japan,
,,,,,,,,,,,,,,,,,,iPad,Germany,
2.0,2.0,1.0,,,,,,,,,,,,,,,,iPad,Japan,
,,,,,,,,,,,,,,,,,,iPhone,Germany,
2.0,2.0,2.0,,,,,,,,,,,,,,,,iPhone,Japan,
