Adventure,Action,Racing / Driving,Sports,Puzzle,Strategy/Tactics,Educational,Simulation,Role-Playing (RPG),Compilation,Special Edition,DLC / Add-on,platform,country
472.0,193.0,9.0,28.0,55.0,263.0,11.0,152.0,349.0,19.0,,17.0,PC-98,Japan
,,,,,,,,,,,,PC-FX,Germany
20.0,8.0,,2.0,1.0,20.0,2.0,11.0,11.0,6.0,,,PC-FX,Japan
6.0,19.0,1.0,2.0,,4.0,,3.0,5.0,5.0,5.0,4.0,PS Vita,Germany
102.0,193.0,5.0,11.0,15.0,51.0,2.0,36.0,153.0,55.0,44.0,200.0,PS Vita,Japan
3.0,61.0,21.0,21.0,6.0,10.0,1.0,4.0,15.0,10.0,,1.0,PSP,Germany
168.0,270.0,29.0,21.0,36.0,89.0,3.0,54.0,207.0,51.0,45.0,7.0,PSP,Japan
,,,,,,,,,,,,Palm OS,Germany
,2.0,,,1.0,,,1.0,,,,,Palm OS,Japan
,,,,,,,,,,,,Pippin,Germany
5.0,2.0,,,1.0,1.0,1.0,2.0,,1.0,,,Pippin,Japan
12.0,228.0,63.0,74.0,12.0,33.0,2.0,25.0,27.0,21.0,,1.0,PlayStation,Germany
203.0,842.0,154.0,195.0,111.0,213.0,7.0,205.0,300.0,92.0,19.0,10.0,PlayStation,Japan
12.0,465.0,158.0,168.0,5.0,28.0,2.0,62.0,56.0,13.0,3.0,1.0,PlayStation 2,Germany
243.0,745.0,96.0,133.0,36.0,115.0,5.0,141.0,221.0,84.0,85.0,6.0,PlayStation 2,Japan
12.0,276.0,61.0,52.0,5.0,37.0,1.0,32.0,44.0,41.0,28.0,42.0,PlayStation 3,Germany
57.0,306.0,21.0,19.0,16.0,52.0,3.0,68.0,140.0,45.0,28.0,51.0,PlayStation 3,Japan
23.0,115.0,15.0,11.0,9.0,8.0,2.0,15.0,27.0,40.0,41.0,36.0,PlayStation 4,Germany
60.0,272.0,13.0,34.0,18.0,18.0,,21.0,101.0,70.0,28.0,293.0,PlayStation 4,Japan
,,,,,,,,,,,,Playdia,Germany
,,,,,1.0,,,,,,,Playdia,Japan
,,,,,,,,,,,,Pokémon Mini,Germany
,5.0,1.0,2.0,3.0,1.0,,1.0,,,,,Pokémon Mini,Japan
,12.0,2.0,2.0,1.0,,,1.0,,,,,SEGA 32X,Germany
,13.0,1.0,4.0,,1.0,,2.0,,,,,SEGA 32X,Japan
5.0,37.0,3.0,7.0,1.0,2.0,,4.0,2.0,2.0,,,SEGA CD,Germany
15.0,46.0,5.0,8.0,3.0,11.0,1.0,10.0,25.0,7.0,,,SEGA CD,Japan
,167.0,20.0,39.0,6.0,5.0,,7.0,2.0,4.0,,,SEGA Master System,Germany
2.0,54.0,8.0,13.0,1.0,1.0,,1.0,3.0,,,,SEGA Master System,Japan
,,,,,,,,,,,,SEGA Pico,Germany
,,,,,,5.0,,,,,,SEGA Pico,Japan
7.0,25.0,7.0,1.0,3.0,2.0,,3.0,2.0,2.0,,,SEGA Saturn,Germany
106.0,269.0,35.0,47.0,30.0,74.0,4.0,44.0,80.0,42.0,16.0,1.0,SEGA Saturn,Japan
,1.0,,,,,,,,,,,SG-1000,Germany
1.0,55.0,6.0,15.0,6.0,2.0,,,1.0,,,,SG-1000,Japan
,55.0,11.0,9.0,6.0,6.0,,3.0,4.0,3.0,,,SNES,Germany
23.0,421.0,43.0,120.0,68.0,78.0,9.0,48.0,160.0,14.0,1.0,,SNES,Japan
,,,,,,,,,,,,Sharp MZ-80B/2000/2500,Germany
1.0,13.0,,,1.0,2.0,,1.0,2.0,,,,Sharp MZ-80B/2000/2500,Japan
,1.0,,,,,,,,,,,Sharp MZ-80K/700/800/1500,Germany
1.0,17.0,1.0,,1.0,1.0,,1.0,,,,,Sharp MZ-80K/700/800/1500,Japan
,,,,,,,,,,,,Sharp X1,Germany
29.0,113.0,7.0,10.0,13.0,24.0,1.0,10.0,47.0,,,4.0,Sharp X1,Japan
,,,,,,,,,,,,Sharp X68000,Germany
129.0,122.0,7.0,15.0,32.0,70.0,2.0,38.0,70.0,6.0,,10.0,Sharp X68000,Japan
,,,,,,,,,,,,Sharp Zaurus,Germany
,7.0,,,2.0,,,,,,,,Sharp Zaurus,Japan
,,,,,,,,1.0,,,,Sinclair QL,Germany
,,,,,,,,,,,,Sinclair QL,Japan
,,,,,,,,,,,,Sord M5,Germany
,15.0,,1.0,1.0,,1.0,1.0,,,,,Sord M5,Japan
,1.0,,,,,,,,,,,Spectravideo,Germany
,,,,,,,,,,,,Spectravideo,Japan
,,,,,,,,,,,,SuperGrafx,Germany
,7.0,,,,,,,,,,,SuperGrafx,Japan
,1.0,,,,1.0,,,,,,,Symbian,Germany
,,,,,,,,,,,,Symbian,Japan
,5.0,1.0,3.0,,,,,,,,,Tele-Spiel ES-2201,Germany
,,,,,,,,,,,,Tele-Spiel ES-2201,Japan
,,,,,,,,,,,,Tomy Tutor,Germany
,11.0,,,,,,,,,,,Tomy Tutor,Japan
,,,,,,,,,,,,TurboGrafx CD,Germany
56.0,139.0,7.0,20.0,13.0,77.0,10.0,37.0,83.0,12.0,,1.0,TurboGrafx CD,Japan
,,,,,,,,,,,,TurboGrafx-16,Germany
