Action,Role-Playing (RPG),Simulation,Adventure,Racing / Driving,Sports,Puzzle,Compilation,Strategy/Tactics,DLC / Add-on,Special Edition,Educational,platform,country
1.0,,,,,,,,,,,,Microvision,Germany
,,,,,,,,,,,,Microvision,Japan
9.0,1.0,2.0,,5.0,7.0,3.0,,3.0,,,,N-Gage,Germany
1.0,1.0,,,,,,,,,,,N-Gage,Japan
31.0,,,,1.0,5.0,1.0,,,,,,NES,Germany
566.0,109.0,37.0,45.0,32.0,101.0,53.0,10.0,77.0,5.0,,15.0,NES,Japan
,,,,,,,,,,,,Neo Geo,Germany
80.0,,2.0,,3.0,18.0,4.0,,1.0,,,,Neo Geo,Japan
,,,,,,,,,,,,Neo Geo CD,Germany
34.0,2.0,,,1.0,13.0,2.0,,3.0,,,,Neo Geo CD,Japan
,,,,,,,,,,,,Neo Geo Pocket,Germany
2.0,,2.0,,,3.0,1.0,,1.0,,,,Neo Geo Pocket,Japan
6.0,,,,,,1.0,,,,,,Neo Geo Pocket Color,Germany
12.0,7.0,2.0,2.0,,5.0,5.0,2.0,7.0,,,,Neo Geo Pocket Color,Japan
5.0,1.0,,1.0,1.0,2.0,3.0,1.0,,3.0,,,New Nintendo 3DS,Germany
16.0,5.0,1.0,1.0,2.0,2.0,4.0,1.0,3.0,,,,New Nintendo 3DS,Japan
57.0,21.0,4.0,4.0,5.0,7.0,20.0,1.0,7.0,5.0,13.0,2.0,Nintendo 3DS,Germany
318.0,115.0,43.0,25.0,21.0,26.0,74.0,11.0,39.0,8.0,12.0,6.0,Nintendo 3DS,Japan
72.0,5.0,7.0,1.0,34.0,27.0,4.0,,5.0,,1.0,,Nintendo 64,Germany
70.0,9.0,15.0,1.0,24.0,18.0,5.0,,11.0,3.0,,5.0,Nintendo 64,Japan
78.0,30.0,36.0,22.0,15.0,15.0,38.0,2.0,35.0,,,24.0,Nintendo DS,Germany
