Shooter,Arcade,Japanese-style RPG (JRPG),Roguelike,Managerial / Business Simulation,Tricks / Stunts,Platform,Falling Block Puzzle,Tile Matching Puzzle,Paddle / Pong,Vehicle Simulator,Music / Rhythm,Puzzle elements,Metroidvania,Life / Social Simulation,Fighting,Martial Arts,Survival Horror,Pinball,Mental training,Tactical RPG,Casino / Gambling,Cards / Tiles,Board Game,Chess,RPG elements,Stealth,Mini-Games,Party Game,Beat 'em up / Brawler,Hack and Slash,Action RPG,Visual Novel,Trading / Collectible Card,Japanese-style Adventure,Interactive Fiction / Text Adventure,Wargame,Massively Multiplayer,Dating Simulation,City Building / Construction Simulation,Vehicular Combat Simulator,Quick Time Events (QTEs),4X,Tactical Shooter,Graphic Adventure,Sandbox / Open World,Rail Shooter,Artillery,Game Show / Trivia / Quiz,Word Construction,Timed Input,Hidden object,Interactive Book,Hunting,Tower Defense,Time Management,platform,country
24.0,23.0,3.0,1.0,2.0,4.0,44.0,2.0,,,4.0,1.0,18.0,4.0,1.0,8.0,2.0,,2.0,,,,3.0,1.0,,,,1.0,,3.0,,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,Game Boy Advance,Germany
27.0,94.0,14.0,1.0,5.0,3.0,77.0,13.0,6.0,1.0,6.0,4.0,44.0,13.0,,16.0,5.0,1.0,3.0,,1.0,,11.0,3.0,,2.0,1.0,2.0,1.0,5.0,,5.0,2.0,6.0,,,,,,,,,,,,,,,,2.0,,,,,,,Game Boy Advance,Japan
9.0,20.0,2.0,,1.0,3.0,30.0,2.0,2.0,,3.0,,18.0,,,3.0,2.0,1.0,2.0,,,,1.0,1.0,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,Game Boy Color,Germany
7.0,21.0,6.0,,1.0,,15.0,6.0,5.0,1.0,1.0,8.0,10.0,4.0,1.0,3.0,,,1.0,,,,4.0,2.0,,2.0,2.0,2.0,,,,,,3.0,3.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,Game Boy Color,Japan
12.0,23.0,,,,,47.0,3.0,,1.0,3.0,,5.0,1.0,,5.0,4.0,,1.0,,,,,,1.0,1.0,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,Game Gear,Germany
22.0,46.0,1.0,,,1.0,41.0,11.0,2.0,2.0,2.0,,7.0,2.0,,10.0,4.0,,,,,,4.0,1.0,,2.0,,,,4.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,Game Gear,Japan
36.0,13.0,2.0,,9.0,10.0,23.0,,1.0,,10.0,5.0,27.0,5.0,3.0,20.0,3.0,3.0,,,,1.0,,6.0,,2.0,4.0,5.0,5.0,2.0,2.0,3.0,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,GameCube,Germany
22.0,21.0,3.0,,4.0,7.0,26.0,6.0,2.0,,6.0,5.0,25.0,7.0,3.0,26.0,6.0,6.0,1.0,,,,,9.0,,1.0,3.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GameCube,Japan
28.0,33.0,1.0,1.0,,1.0,69.0,1.0,,,2.0,,17.0,,,7.0,4.0,,1.0,,,,,,,2.0,,,,9.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,Genesis,Germany
82.0,117.0,4.0,1.0,5.0,1.0,105.0,10.0,2.0,2.0,5.0,,22.0,4.0,,27.0,15.0,,5.0,,,1.0,8.0,10.0,,4.0,,,,25.0,,3.0,,,,,,,,,5.0,,,,,,2.0,,2.0,,,,,,,,Genesis,Japan
1.0,5.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ideal-Computer,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ideal-Computer,Japan
1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intellivision,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intellivision,Japan
,5.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interton Video 2000,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interton Video 2000,Japan
5.0,13.0,,,1.0,,15.0,2.0,,,1.0,,4.0,,,2.0,,,,,,1.0,3.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,J2ME,Germany
,5.0,2.0,,,,3.0,,1.0,,,,,,,1.0,,,,,2.0,,1.0,,,,4.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,J2ME,Japan
2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaguar,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaguar,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LaserActive,Germany
2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,1.0,,1.0,,,,,,LaserActive,Japan
7.0,3.0,,,5.0,,5.0,,,1.0,4.0,,12.0,,,1.0,,,,2.0,1.0,,,,,,2.0,,,,,,1.0,1.0,,,,1.0,,2.0,2.0,,2.0,,7.0,,,,,,,,,,,,Linux,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linux,Japan
3.0,6.0,,,,1.0,2.0,1.0,,,1.0,,1.0,,,3.0,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lynx,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lynx,Japan
35.0,85.0,,,1.0,1.0,40.0,,1.0,3.0,2.0,,11.0,3.0,,5.0,5.0,,1.0,1.0,,,2.0,3.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,MSX,Germany
111.0,180.0,8.0,,4.0,,79.0,5.0,4.0,6.0,3.0,1.0,41.0,6.0,,9.0,8.0,,1.0,,,2.0,12.0,9.0,3.0,1.0,4.0,,,2.0,,9.0,15.0,,2.0,12.0,,,,,4.0,,,,1.0,,1.0,,4.0,,1.0,,,,,,MSX,Japan
38.0,11.0,,,36.0,6.0,17.0,3.0,4.0,1.0,13.0,4.0,101.0,,7.0,6.0,,,5.0,2.0,2.0,,4.0,6.0,2.0,9.0,8.0,10.0,,,4.0,6.0,1.0,2.0,,,,2.0,,7.0,4.0,,4.0,1.0,26.0,1.0,,2.0,3.0,,,3.0,1.0,1.0,1.0,1.0,Macintosh,Germany
4.0,3.0,,,4.0,,1.0,4.0,1.0,2.0,,4.0,5.0,,2.0,,,,,,,,1.0,,,,,,,,1.0,1.0,6.0,,,,,,2.0,1.0,,,1.0,,4.0,2.0,,,,,,,1.0,,,,Macintosh,Japan
,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microvision,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microvision,Japan
1.0,3.0,,,,2.0,3.0,1.0,1.0,,3.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,N-Gage,Germany
