Sci-Fi / Futuristic,Fantasy,Europe,Contemporary,Medieval,Japan (Ancient/Classical/Medieval),North America,China (Ancient/Imperial),Historical Events,Cyberpunk / Dark Sci-Fi,Interwar,Asia,Post-Apocalyptic,World War II,Sea Pirates/Caribbean,Cold War,Industrial Age,World War I,Prehistoric,Classical antiquity,Middle East,Africa,Western,Egypt (Ancient),Steampunk,South America,Pre-Columbian Americas,Oceania,platform,country
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microvision,Japan
,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,N-Gage,Germany
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,N-Gage,Japan
7.0,3.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,NES,Germany
150.0,138.0,2.0,2.0,,7.0,3.0,6.0,16.0,6.0,2.0,3.0,10.0,3.0,,,,1.0,3.0,3.0,,,3.0,1.0,,1.0,,1.0,NES,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo,Germany
12.0,8.0,,2.0,,2.0,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,Neo Geo,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo CD,Germany
6.0,6.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,Neo Geo CD,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket,Germany
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket,Japan
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket Color,Germany
4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Neo Geo Pocket Color,Japan
2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,New Nintendo 3DS,Germany
5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,New Nintendo 3DS,Japan
8.0,26.0,,5.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,Nintendo 3DS,Germany
60.0,162.0,3.0,16.0,,3.0,,,,2.0,,,3.0,,,,3.0,1.0,2.0,,,,4.0,,1.0,1.0,,,Nintendo 3DS,Japan
27.0,21.0,2.0,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,Nintendo 64,Germany
26.0,23.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,Nintendo 64,Japan
19.0,41.0,5.0,2.0,1.0,,3.0,,,,2.0,1.0,1.0,,3.0,,,,,4.0,,,1.0,3.0,1.0,2.0,,,Nintendo DS,Germany
40.0,110.0,5.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,Nintendo DS,Japan
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Nintendo DSi,Germany
3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Nintendo DSi,Japan
43.0,129.0,5.0,14.0,10.0,1.0,1.0,,2.0,3.0,,1.0,7.0,1.0,,1.0,,3.0,1.0,1.0,2.0,,1.0,,2.0,,,1.0,Nintendo Switch,Germany
60.0,214.0,5.0,15.0,6.0,9.0,2.0,1.0,4.0,4.0,,3.0,3.0,1.0,,,,2.0,,2.0,,,1.0,1.0,3.0,,,,Nintendo Switch,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odyssey,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odyssey,Japan
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odyssey 2,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odyssey 2,Japan
1.0,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,PC Booter,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC Booter,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC-6001,Germany
8.0,9.0,,,,2.0,,,3.0,,,,,2.0,,,,,,,,,,,,,,,PC-6001,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC-8000,Germany
4.0,4.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,PC-8000,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC-88,Germany
94.0,137.0,3.0,6.0,,5.0,,3.0,18.0,4.0,2.0,3.0,10.0,4.0,3.0,1.0,,1.0,,,,1.0,,,,,,,PC-88,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC-98,Germany
216.0,402.0,5.0,14.0,,5.0,4.0,8.0,44.0,14.0,6.0,2.0,21.0,12.0,2.0,2.0,,3.0,,3.0,5.0,2.0,,1.0,,,,,PC-98,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC-FX,Germany
10.0,15.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,PC-FX,Japan
6.0,5.0,1.0,3.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,PS Vita,Germany
81.0,147.0,3.0,15.0,2.0,7.0,,,3.0,6.0,1.0,5.0,11.0,,,,,,1.0,,,,,,,,,,PS Vita,Japan
15.0,20.0,1.0,2.0,,1.0,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,PSP,Germany
109.0,196.0,2.0,14.0,2.0,2.0,1.0,15.0,14.0,11.0,3.0,6.0,12.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,PSP,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palm OS,Germany
2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Palm OS,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pippin,Germany
2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Pippin,Japan
78.0,49.0,8.0,4.0,,,4.0,,3.0,15.0,1.0,1.0,2.0,3.0,,,,,,,,3.0,1.0,,,,,,PlayStation,Germany
332.0,287.0,7.0,18.0,3.0,9.0,5.0,17.0,37.0,38.0,2.0,13.0,17.0,7.0,3.0,,,,3.0,,2.0,6.0,2.0,2.0,1.0,,,,PlayStation,Japan
98.0,96.0,12.0,14.0,3.0,5.0,12.0,5.0,19.0,20.0,6.0,9.0,9.0,14.0,2.0,3.0,,1.0,,9.0,8.0,4.0,2.0,1.0,,3.0,,1.0,PlayStation 2,Germany
198.0,253.0,8.0,18.0,1.0,27.0,4.0,15.0,32.0,16.0,11.0,6.0,21.0,3.0,2.0,2.0,,,,2.0,6.0,1.0,1.0,,3.0,,,,PlayStation 2,Japan
73.0,69.0,9.0,21.0,1.0,4.0,10.0,5.0,12.0,5.0,1.0,6.0,18.0,11.0,1.0,2.0,,,,2.0,12.0,7.0,4.0,,6.0,1.0,,,PlayStation 3,Germany
101.0,169.0,2.0,10.0,1.0,6.0,3.0,9.0,13.0,7.0,,11.0,20.0,2.0,,1.0,,,1.0,4.0,4.0,1.0,1.0,,,,,,PlayStation 3,Japan
30.0,48.0,6.0,14.0,1.0,2.0,6.0,,2.0,,,4.0,7.0,,1.0,,,,,,1.0,1.0,,,3.0,1.0,,,PlayStation 4,Germany
81.0,142.0,5.0,14.0,,8.0,5.0,,2.0,6.0,,9.0,13.0,,,1.0,,,1.0,1.0,,,,,1.0,2.0,,,PlayStation 4,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playdia,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Playdia,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pokémon Mini,Germany
,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Pokémon Mini,Japan
6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEGA 32X,Germany
7.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,SEGA 32X,Japan
11.0,4.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,SEGA CD,Germany
26.0,22.0,,,,1.0,,1.0,3.0,8.0,,1.0,3.0,,1.0,,,,,,1.0,,1.0,,,,,,SEGA CD,Japan
30.0,11.0,1.0,1.0,1.0,2.0,2.0,,,,1.0,,2.0,,,1.0,,,1.0,2.0,2.0,,3.0,,,,1.0,,SEGA Master System,Germany
15.0,5.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,SEGA Master System,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEGA Pico,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEGA Pico,Japan
8.0,4.0,,,,,,,,,1.0,,2.0,,,,,,,,1.0,1.0,,1.0,,,,,SEGA Saturn,Germany
109.0,106.0,4.0,4.0,2.0,3.0,,4.0,8.0,15.0,5.0,1.0,10.0,,,,,,,,1.0,2.0,,1.0,1.0,,,,SEGA Saturn,Japan
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG-1000,Germany
11.0,2.0,2.0,,,4.0,2.0,1.0,,,,,,,,,1.0,,,,1.0,2.0,1.0,,,1.0,,,SG-1000,Japan
12.0,10.0,,1.0,,,,,,1.0,,,2.0,,,,,,2.0,,,,,,,,,,SNES,Germany
154.0,176.0,2.0,3.0,1.0,4.0,2.0,5.0,16.0,13.0,4.0,1.0,13.0,4.0,,,,1.0,1.0,1.0,3.0,2.0,1.0,,1.0,,,,SNES,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp MZ-80B/2000/2500,Germany
5.0,3.0,,2.0,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,Sharp MZ-80B/2000/2500,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp MZ-80K/700/800/1500,Germany
4.0,4.0,,2.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,Sharp MZ-80K/700/800/1500,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharp X1,Germany
