2D scrolling,Fixed / Flip-screen,Isometric,Free-roaming camera,Cinematic camera,platform,country
,,,,,WonderSwan Color,Germany
4.0,6.0,5.0,,,WonderSwan Color,Japan
,,,,,XaviXPORT,Germany
,,,,,XaviXPORT,Japan
23.0,1.0,4.0,2.0,7.0,Xbox,Germany
15.0,3.0,2.0,,4.0,Xbox,Japan
47.0,13.0,1.0,8.0,2.0,Xbox 360,Germany
52.0,12.0,3.0,4.0,,Xbox 360,Japan
3.0,,1.0,,,Xbox One,Germany
12.0,3.0,,,1.0,Xbox One,Japan
65.0,62.0,25.0,,1.0,ZX Spectrum,Germany
,,,,,ZX Spectrum,Japan
3.0,,,1.0,,iPad,Germany
13.0,17.0,5.0,,1.0,iPad,Japan
2.0,2.0,,1.0,,iPhone,Germany
16.0,21.0,5.0,,1.0,iPhone,Japan
