Point and Select,Menu Structures,Direct Control,Multiple Units/Characters Control,Text Parser,Voice Control,Motion Control,platform,country
12.0,3.0,102.0,12.0,,,2.0,Xbox 360,Germany
12.0,3.0,40.0,5.0,,,,Xbox 360,Japan
,,10.0,,,,,Xbox One,Germany
4.0,,6.0,,,,,Xbox One,Japan
2.0,,16.0,,1.0,,,ZX Spectrum,Germany
,,,,,,,ZX Spectrum,Japan
3.0,,,1.0,,,,iPad,Germany
20.0,6.0,4.0,,,,,iPad,Japan
6.0,,,1.0,,,,iPhone,Germany
22.0,6.0,7.0,,,,,iPhone,Japan
